법정동코드,시군구,성별,연령대,동반자유형,평점
42150,강원특별자치도 강릉시,남,15~19세,가족,4.095238095
42150,강원특별자치도 강릉시,남,15~19세,비가족,4
42150,강원특별자치도 강릉시,남,20대,가족,4.148148148
42150,강원특별자치도 강릉시,남,20대,비가족,4.085545723
42150,강원특별자치도 강릉시,남,30대,가족,4.059360731
42150,강원특별자치도 강릉시,남,30대,비가족,4.116959064
42150,강원특별자치도 강릉시,남,40대,가족,4.082304527
42150,강원특별자치도 강릉시,남,40대,비가족,4.111111111
42150,강원특별자치도 강릉시,남,50대,가족,4.166666667
42150,강원특별자치도 강릉시,남,50대,비가족,4.015151515
42150,강원특별자치도 강릉시,남,60대,가족,4.070707071
42150,강원특별자치도 강릉시,남,60대,비가족,4.119047619
42150,강원특별자치도 강릉시,남,70세 이상,가족,4.063492063
42150,강원특별자치도 강릉시,남,70세 이상,비가족,4.296296296
42150,강원특별자치도 강릉시,여,15~19세,가족,4.142857143
42150,강원특별자치도 강릉시,여,15~19세,비가족,4.111111111
42150,강원특별자치도 강릉시,여,20대,가족,3.985507246
42150,강원특별자치도 강릉시,여,20대,비가족,4.125925926
42150,강원특별자치도 강릉시,여,30대,가족,4.106280193
42150,강원특별자치도 강릉시,여,30대,비가족,4.053763441
42150,강원특별자치도 강릉시,여,40대,가족,4.139917695
42150,강원특별자치도 강릉시,여,40대,비가족,4.047619048
42150,강원특별자치도 강릉시,여,50대,가족,4.172839506
42150,강원특별자치도 강릉시,여,50대,비가족,3.990740741
42150,강원특별자치도 강릉시,여,60대,가족,4.049019608
42150,강원특별자치도 강릉시,여,60대,비가족,4.175438596
42150,강원특별자치도 강릉시,여,70세 이상,가족,4.130952381
42150,강원특별자치도 강릉시,여,70세 이상,비가족,3.880952381
42820,강원특별자치도 고성군,남,15~19세,가족,4.333333333
42820,강원특별자치도 고성군,남,15~19세,비가족,4
42820,강원특별자치도 고성군,남,20대,가족,4.333333333
42820,강원특별자치도 고성군,남,20대,비가족,4.142857143
42820,강원특별자치도 고성군,남,30대,가족,4
42820,강원특별자치도 고성군,남,30대,비가족,4
42820,강원특별자치도 고성군,남,40대,가족,4.037037037
42820,강원특별자치도 고성군,남,40대,비가족,4
42820,강원특별자치도 고성군,남,50대,가족,4.095238095
42820,강원특별자치도 고성군,남,50대,비가족,4.2
42820,강원특별자치도 고성군,남,60대,가족,4.444444444
42820,강원특별자치도 고성군,남,60대,비가족,3.777777778
42820,강원특별자치도 고성군,남,70세 이상,가족,4
42820,강원특별자치도 고성군,남,70세 이상,비가족,3.666666667
42820,강원특별자치도 고성군,여,15~19세,가족,4.111111111
42820,강원특별자치도 고성군,여,20대,가족,3.666666667
42820,강원특별자치도 고성군,여,20대,비가족,4.2
42820,강원특별자치도 고성군,여,30대,가족,3.916666667
42820,강원특별자치도 고성군,여,30대,비가족,4.222222222
42820,강원특별자치도 고성군,여,40대,가족,4.151515152
42820,강원특별자치도 고성군,여,40대,비가족,4.333333333
42820,강원특별자치도 고성군,여,50대,가족,4.1
42820,강원특별자치도 고성군,여,50대,비가족,4.133333333
42820,강원특별자치도 고성군,여,60대,가족,3.933333333
42820,강원특별자치도 고성군,여,60대,비가족,3.888888889
42820,강원특별자치도 고성군,여,70세 이상,가족,4
42820,강원특별자치도 고성군,여,70세 이상,비가족,4.5
42170,강원특별자치도 동해시,남,15~19세,비가족,3
42170,강원특별자치도 동해시,남,20대,가족,3.666666667
42170,강원특별자치도 동해시,남,20대,비가족,4.01754386
42170,강원특별자치도 동해시,남,30대,가족,4.076923077
42170,강원특별자치도 동해시,남,30대,비가족,4.074074074
42170,강원특별자치도 동해시,남,40대,가족,4.074074074
42170,강원특별자치도 동해시,남,40대,비가족,4
42170,강원특별자치도 동해시,남,50대,가족,4.051282051
42170,강원특별자치도 동해시,남,50대,비가족,4.333333333
42170,강원특별자치도 동해시,남,60대,가족,4.111111111
42170,강원특별자치도 동해시,남,60대,비가족,3.777777778
42170,강원특별자치도 동해시,남,70세 이상,가족,4.222222222
42170,강원특별자치도 동해시,남,70세 이상,비가족,4.083333333
42170,강원특별자치도 동해시,여,15~19세,가족,4
42170,강원특별자치도 동해시,여,20대,가족,4
42170,강원특별자치도 동해시,여,20대,비가족,4.181818182
42170,강원특별자치도 동해시,여,30대,가족,4.066666667
42170,강원특별자치도 동해시,여,30대,비가족,4
42170,강원특별자치도 동해시,여,40대,가족,4.097222222
42170,강원특별자치도 동해시,여,40대,비가족,4.066666667
42170,강원특별자치도 동해시,여,50대,가족,4
42170,강원특별자치도 동해시,여,50대,비가족,4.166666667
42170,강원특별자치도 동해시,여,60대,가족,4.238095238
42170,강원특별자치도 동해시,여,60대,비가족,4.095238095
42170,강원특별자치도 동해시,여,70세 이상,가족,4
42170,강원특별자치도 동해시,여,70세 이상,비가족,4
42230,강원특별자치도 삼척시,남,15~19세,가족,4.333333333
42230,강원특별자치도 삼척시,남,20대,가족,4
42230,강원특별자치도 삼척시,남,20대,비가족,4.153846154
42230,강원특별자치도 삼척시,남,30대,가족,4.083333333
42230,강원특별자치도 삼척시,남,30대,비가족,4.181818182
42230,강원특별자치도 삼척시,남,40대,가족,4.2
42230,강원특별자치도 삼척시,남,40대,비가족,4.666666667
42230,강원특별자치도 삼척시,남,50대,가족,4.098039216
42230,강원특별자치도 삼척시,남,50대,비가족,3.952380952
42230,강원특별자치도 삼척시,남,60대,가족,4.222222222
42230,강원특별자치도 삼척시,남,60대,비가족,3.6
42230,강원특별자치도 삼척시,남,70세 이상,가족,4.2
42230,강원특별자치도 삼척시,남,70세 이상,비가족,3.933333333
42230,강원특별자치도 삼척시,여,15~19세,가족,3.8
42230,강원특별자치도 삼척시,여,20대,가족,4.166666667
42230,강원특별자치도 삼척시,여,20대,비가족,4.166666667
42230,강원특별자치도 삼척시,여,30대,가족,4.285714286
42230,강원특별자치도 삼척시,여,30대,비가족,4.142857143
42230,강원특별자치도 삼척시,여,40대,가족,4.296296296
42230,강원특별자치도 삼척시,여,40대,비가족,4.5
42230,강원특별자치도 삼척시,여,50대,가족,4.166666667
42230,강원특별자치도 삼척시,여,50대,비가족,4.033333333
42230,강원특별자치도 삼척시,여,60대,가족,3.958333333
42230,강원특별자치도 삼척시,여,60대,비가족,4.277777778
42230,강원특별자치도 삼척시,여,70세 이상,가족,4.19047619
42230,강원특별자치도 삼척시,여,70세 이상,비가족,4.277777778
42210,강원특별자치도 속초시,남,15~19세,가족,4.060606061
42210,강원특별자치도 속초시,남,15~19세,비가족,4.133333333
42210,강원특별자치도 속초시,남,20대,가족,4
42210,강원특별자치도 속초시,남,20대,비가족,4.050847458
42210,강원특별자치도 속초시,남,30대,가족,4.161111111
42210,강원특별자치도 속초시,남,30대,비가족,4.100775194
42210,강원특별자치도 속초시,남,40대,가족,4.106227106
42210,강원특별자치도 속초시,남,40대,비가족,4.183333333
42210,강원특별자치도 속초시,남,50대,가족,4.138528139
42210,강원특별자치도 속초시,남,50대,비가족,4.135802469
42210,강원특별자치도 속초시,남,60대,가족,4.089430894
42210,강원특별자치도 속초시,남,60대,비가족,4.166666667
