시군구,성별,연령대,동반자유형,평점
강원 강릉시,남,15~19세,가족,4.095238095238095
강원 강릉시,남,15~19세,가족이 아닌 경우,4.0
강원 강릉시,남,20대,가족,4.148148148148148
강원 강릉시,남,20대,가족이 아닌 경우,4.0855457227138645
강원 강릉시,남,30대,가족,4.059360730593607
강원 강릉시,남,30대,가족이 아닌 경우,4.116959064327485
강원 강릉시,남,40대,가족,4.082304526748971
강원 강릉시,남,40대,가족이 아닌 경우,4.111111111111112
강원 강릉시,남,50대,가족,4.166666666666667
강원 강릉시,남,50대,가족이 아닌 경우,4.015151515151515
강원 강릉시,남,60대,가족,4.070707070707071
강원 강릉시,남,60대,가족이 아닌 경우,4.119047619047619
강원 강릉시,남,70세 이상,가족,4.063492063492063
강원 강릉시,남,70세 이상,가족이 아닌 경우,4.296296296296296
강원 강릉시,여,15~19세,가족,4.142857142857143
강원 강릉시,여,15~19세,가족이 아닌 경우,4.111111111111111
강원 강릉시,여,20대,가족,3.985507246376812
강원 강릉시,여,20대,가족이 아닌 경우,4.125925925925926
강원 강릉시,여,30대,가족,4.106280193236715
강원 강릉시,여,30대,가족이 아닌 경우,4.053763440860215
강원 강릉시,여,40대,가족,4.139917695473251
강원 강릉시,여,40대,가족이 아닌 경우,4.0476190476190474
강원 강릉시,여,50대,가족,4.172839506172839
강원 강릉시,여,50대,가족이 아닌 경우,3.9907407407407405
강원 강릉시,여,60대,가족,4.049019607843137
강원 강릉시,여,60대,가족이 아닌 경우,4.175438596491228
강원 강릉시,여,70세 이상,가족,4.130952380952381
강원 강릉시,여,70세 이상,가족이 아닌 경우,3.8809523809523805
강원 고성군,남,15~19세,가족,4.333333333333333
강원 고성군,남,15~19세,가족이 아닌 경우,4.0
강원 고성군,남,20대,가족,4.333333333333333
강원 고성군,남,20대,가족이 아닌 경우,4.142857142857143
강원 고성군,남,30대,가족,4.0
강원 고성군,남,30대,가족이 아닌 경우,4.0
강원 고성군,남,40대,가족,4.037037037037037
강원 고성군,남,40대,가족이 아닌 경우,4.0
강원 고성군,남,50대,가족,4.095238095238095
강원 고성군,남,50대,가족이 아닌 경우,4.2
강원 고성군,남,60대,가족,4.444444444444444
강원 고성군,남,60대,가족이 아닌 경우,3.777777777777778
강원 고성군,남,70세 이상,가족,4.0
강원 고성군,남,70세 이상,가족이 아닌 경우,3.6666666666666665
강원 고성군,여,15~19세,가족,4.111111111111112
강원 고성군,여,20대,가족,3.6666666666666665
강원 고성군,여,20대,가족이 아닌 경우,4.2
강원 고성군,여,30대,가족,3.9166666666666665
강원 고성군,여,30대,가족이 아닌 경우,4.222222222222222
강원 고성군,여,40대,가족,4.151515151515151
강원 고성군,여,40대,가족이 아닌 경우,4.333333333333333
강원 고성군,여,50대,가족,4.1
강원 고성군,여,50대,가족이 아닌 경우,4.133333333333333
강원 고성군,여,60대,가족,3.9333333333333327
강원 고성군,여,60대,가족이 아닌 경우,3.888888888888889
강원 고성군,여,70세 이상,가족,4.0
강원 고성군,여,70세 이상,가족이 아닌 경우,4.5
강원 동해시,남,15~19세,가족이 아닌 경우,3.0
강원 동해시,남,20대,가족,3.666666666666667
강원 동해시,남,20대,가족이 아닌 경우,4.017543859649122
강원 동해시,남,30대,가족,4.076923076923077
강원 동해시,남,30대,가족이 아닌 경우,4.0740740740740735
강원 동해시,남,40대,가족,4.0740740740740735
강원 동해시,남,40대,가족이 아닌 경우,4.0
강원 동해시,남,50대,가족,4.051282051282051
강원 동해시,남,50대,가족이 아닌 경우,4.333333333333333
강원 동해시,남,60대,가족,4.111111111111112
강원 동해시,남,60대,가족이 아닌 경우,3.777777777777778
강원 동해시,남,70세 이상,가족,4.222222222222222
강원 동해시,남,70세 이상,가족이 아닌 경우,4.083333333333333
강원 동해시,여,15~19세,가족,4.0
강원 동해시,여,20대,가족,4.0
강원 동해시,여,20대,가족이 아닌 경우,4.181818181818182
강원 동해시,여,30대,가족,4.066666666666666
강원 동해시,여,30대,가족이 아닌 경우,4.0
강원 동해시,여,40대,가족,4.097222222222222
강원 동해시,여,40대,가족이 아닌 경우,4.066666666666666
강원 동해시,여,50대,가족,4.0
강원 동해시,여,50대,가족이 아닌 경우,4.166666666666667
강원 동해시,여,60대,가족,4.238095238095238
강원 동해시,여,60대,가족이 아닌 경우,4.095238095238095
강원 동해시,여,70세 이상,가족,4.0
강원 동해시,여,70세 이상,가족이 아닌 경우,4.0
강원 삼척시,남,15~19세,가족,4.333333333333333
강원 삼척시,남,20대,가족,4.0
강원 삼척시,남,20대,가족이 아닌 경우,4.153846153846154
강원 삼척시,남,30대,가족,4.083333333333333
강원 삼척시,남,30대,가족이 아닌 경우,4.181818181818182
강원 삼척시,남,40대,가족,4.2
강원 삼척시,남,40대,가족이 아닌 경우,4.666666666666667
강원 삼척시,남,50대,가족,4.098039215686275
강원 삼척시,남,50대,가족이 아닌 경우,3.9523809523809526
강원 삼척시,남,60대,가족,4.222222222222222
강원 삼척시,남,60대,가족이 아닌 경우,3.6
강원 삼척시,남,70세 이상,가족,4.2
강원 삼척시,남,70세 이상,가족이 아닌 경우,3.9333333333333327
강원 삼척시,여,15~19세,가족,3.8
강원 삼척시,여,20대,가족,4.166666666666666
강원 삼척시,여,20대,가족이 아닌 경우,4.166666666666666
강원 삼척시,여,30대,가족,4.285714285714286
강원 삼척시,여,30대,가족이 아닌 경우,4.142857142857143
